timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705668282055,20,HTTP Request-0,301,Moved Permanently,Assignment_2 8-8,text,true,,345,119,4,6,https://makemytrip.com/hotels/,20,0,0
1705668282075,1779,HTTP Request-1,200,OK,Assignment_2 8-8,text,true,,237312,127,4,6,https://www.makemytrip.com:443/hotels/,1737,0,0
1705668282055,1883,HTTP Request,200,OK,Assignment_2 8-7,text,true,,244960,252,4,6,https://www.makemytrip.com:443/homestays/,20,0,0
1705668282055,20,HTTP Request-0,301,Moved Permanently,Assignment_2 8-7,text,true,,348,122,4,6,https://makemytrip.com/homestays/,20,0,0
1705668282075,1863,HTTP Request-1,200,OK,Assignment_2 8-7,text,true,,244612,130,4,6,https://www.makemytrip.com:443/homestays/,1836,0,0
1705668282056,2008,HTTP Request,200,OK,Assignment_2 8-9,text,true,,237621,246,3,5,https://www.makemytrip.com:443/hotels/,78,0,66
1705668282056,78,HTTP Request-0,301,Moved Permanently,Assignment_2 8-9,text,true,,345,119,3,5,https://makemytrip.com/hotels/,78,0,66
1705668282134,1930,HTTP Request-1,200,OK,Assignment_2 8-9,text,true,,237276,127,3,5,https://www.makemytrip.com:443/hotels/,1873,0,47
1705668282071,2267,HTTP Request,200,OK,Assignment_no3 9-4,text,true,,231153,262,2,5,https://www.makemytrip.com:443/holidays-india/,16,0,0
1705668282071,16,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-4,text,true,,353,127,2,5,https://makemytrip.com/holidays-india/,16,0,0
1705668282087,2251,HTTP Request-1,200,OK,Assignment_no3 9-4,text,true,,230800,135,2,5,https://www.makemytrip.com:443/holidays-india/,2232,0,0
1705668282072,2653,HTTP Request,200,OK,Assignment_no3 9-5,text,true,,231093,262,1,4,https://www.makemytrip.com:443/holidays-india/,71,0,58
1705668282072,71,HTTP Request-0,301,Moved Permanently,Assignment_no3 9-5,text,true,,353,127,1,4,https://makemytrip.com/holidays-india/,71,0,58
1705668282143,2582,HTTP Request-1,200,OK,Assignment_no3 9-5,text,true,,230740,135,1,4,https://www.makemytrip.com:443/holidays-india/,2518,0,39
1705668288055,1897,HTTP Request,200,OK,Assignment_2 8-8,text,true,,237659,246,3,5,https://www.makemytrip.com:443/hotels/,14,0,0
1705668288055,14,HTTP Request-0,301,Moved Permanently,Assignment_2 8-8,text,true,,345,119,3,5,https://makemytrip.com/hotels/,14,0,0
1705668288069,1883,HTTP Request-1,200,OK,Assignment_2 8-8,text,true,,237314,127,3,5,https://www.makemytrip.com:443/hotels/,1847,0,0
1705668288056,2003,HTTP Request,200,OK,Assignment_2 8-10,text,true,,244928,252,2,4,https://www.makemytrip.com:443/homestays/,81,0,67
